Neighbourhood ID,Neighbourhood Name,"Rate per 100,000 people",Case Count
1,West Humber-Clairville,99.06340058,33
2,Mount Olive-Silverstone-Jamestown,78.89785762,26
3,Thistletown-Beaumond Heights,164.0926641,17
4,Rexdale-Kipling,151.9612499,16
5,Elms-Old Rexdale,95.17766498,9
6,Kingsview Village-The Westway,159.0909091,35
7,Willowridge-Martingrove-Richview,18.05380033,4
8,Humber Heights-Westmount,9.134088418,1
9,Edenbridge-Humber Valley,70.80785324,11
10,Princess-Rosethorn,36.19581938,4
11,Eringate-Centennial-West Deane,96.83666882,18
12,Markland Wood,9.475080538,1
13,Etobicoke West Mall,126.6036462,15
14,Islington-City Centre West,68.2360969,30
15,Kingsway South,21.57264589,2
16,Stonegate-Queensway,27.94299629,7
17,Mimico (includes Humber Bay Shores),35.3315275,12
18,New Toronto,17.44743959,2
19,Long Branch,29.75009917,3
20,Alderwood,66.36801062,8
21,Humber Summit,96.64948454,12
22,Humbermede,109.3599228,17
23,Pelmo Park-Humberlea,65.28632718,7
24,Black Creek,73.60721351,16
25,Glenfield-Jane Heights,62.31346955,19
26,Downsview-Roding-CFB,77.02841493,27
27,York University Heights,79.7303664,22
28,Rustic,80.47480133,8
29,Maple Leaf,89.01196716,9
30,Brookhaven-Amesbury,67.57898294,12
31,Yorkdale-Glen Park,27.0197244,4
32,Englemount-Lawrence,67.04809583,15
34,Bathurst Manor,25.2000252,4
35,Westminster-Branson,30.44835198,8
36,Newtonbrook West,33.56972011,8
37,Willowdale West,53.1412376,9
38,Lansing-Westgate,18.55976244,3
39,Bedford Park-Nortown,17.2146669,4
40,St.Andrew-Windfields,16.84257804,3
42,Banbury-Don Mills,39.71836072,11
43,Victoria Village,22.84408909,4
44,Flemingdon Park,22.79669904,5
45,Parkwoods-Donalda,17.23890246,6
46,Pleasant View,18.96573524,3
47,Don Valley Village,18.48360504,5
48,Hillcrest Village,23.62111728,4
50,Newtonbrook East,12.42467541,2
51,Willowdale East,23.79347266,12
52,Bayview Village,23.36885399,5
53,Henry Farm,38.16065636,6
54,O'Connor-Parkview,16.06425703,3
56,Leaside-Bennington,23.7699073,4
57,Broadview North,43.48204192,5
58,Old East York,21.66143182,2
59,Danforth-East York,23.28288708,4
60,Woodbine-Lumsden,12.71455817,1
61,Taylor-Massey,19.12899318,3
62,East End-Danforth,18.70819887,4
63,The Beaches,18.54685399,4
65,Greenwood-Coxwell,13.87251162,2
66,Danforth,62.07324643,6
67,Playter Estates-Danforth,25.62788314,2
68,North Riverdale,25.17623364,3
69,Blake-Jones,25.88326647,2
70,South Riverdale,21.52389152,6
71,Cabbagetown-South St. James Town,51.41828777,6
72,Regent Park,83.31019161,9
73,Moss Park,48.76621477,10
74,North St. James Town,16.11603546,3
75,Church-Yonge Corridor,79.77026165,25
76,Bay Street Corridor,42.64061713,11
77,Waterfront Communities-The Island,103.166295,68
78,Kensington-Chinatown,78.01616049,14
79,University,26.29157355,2
80,Palmerston-Little Italy,36.16374946,5
81,Trinity-Bellwoods,12.08021261,2
82,Niagara,60.93649776,19
83,Dufferin Grove,16.9707255,2
84,Little Portugal,77.12577929,12
85,South Parkdale,18.30747403,4
86,Roncesvalles,13.35648457,2
87,High Park-Swansea,45.97701149,11
88,High Park North,9.024456277,2
89,Runnymede-Bloor West Village,49.65243297,5
90,Junction Area,69.60879855,10
91,Weston-Pellam Park,36.04253019,4
92,Corso Italia-Davenport,28.30255431,4
93,Dovercourt-Wallace Emerson-Junction,30.03412969,11
94,Wychwood,13.93825354,2
95,Annex,36.03485553,11
96,Casa Loma,36.46973012,4
97,Yonge-St.Clair,7.982120051,1
98,Rosedale-Moore Park,14.33828801,3
99,Mount Pleasant East,17.88375559,3
101,Forest Hill South,9.317927693,1
102,Forest Hill North,15.61767921,2
103,Lawrence Park South,6.588049279,1
104,Mount Pleasant West,13.48708612,4
105,Lawrence Park North,6.846032724,1
106,Humewood-Cedarvale,27.84545771,4
107,Oakwood Village,47.1475719,10
108,Briar Hill - Belgravia,42.08459003,6
109,Caledonia-Fairbank,80.36162732,8
110,Keelesdale-Eglinton West,63.30258636,7
111,Rockcliffe-Smythe,22.47595073,5
112,Beechborough-Greenbrook,182.4540064,12
113,Weston,111.1605158,20
114,Lambton Baby Point,25.04696306,2
115,Mount Dennis,88.28073273,12
117,L'Amoreaux,27.27706681,12
118,Tam O'Shanter-Sullivan,25.50462727,7
119,Wexford/Maryvale,17.91023391,5
120,Clairlea-Birchmount,14.82359917,4
122,Birchcliffe-Cliffside,35.88892378,8
123,Cliffcrest,43.92845937,7
124,Kennedy Park,81.76137359,14
125,Ionview,43.98504509,6
126,Dorset Park,27.9966404,7
127,Bendale,40.05340454,12
128,Agincourt South-Malvern West,25.25571411,6
129,Agincourt North,30.91402466,9
130,Milliken,7.526719855,2
131,Rouge,23.65794907,11
132,Malvern,57.0854455,25
133,Centennial Scarborough,7.483909594,1
134,Highland Creek,16.00768369,2
135,Morningside,22.91606989,4
136,West Hill,18.25350467,5
137,Woburn,29.91492942,16
138,Eglinton East,70.24938532,16
139,Scarborough Village,41.85601531,7
140,Guildwood,30.251084,3
,Missing Address/Postal Code,,46
